year,class,rider_id,team_id,entry_name,maker,machine,number,rank,points,status
2007,MotoGP,alex-barros,pramac,Pramac d'Antin,ドゥカティ,デスモセディチ,,15,65,確認済
2007,MotoGP,anthony-west,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,16,50,確認済
2007,MotoGP,olivier-jacque,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,17,45,確認済
2007,MotoGP,alex-hofmann,pramac,Pramac d'Antin,ドゥカティ,デスモセディチ,,18,35,確認済
2007,MotoGP,makoto-tamada,tech3,Dunlop Yamaha Tech 3,ヤマハ,YZR-M1,,19,25,確認済
2007,MotoGP,kenny-roberts-jr,team-kr,Team Roberts,ホンダ,RC212V,,20,13,確認済
2007,MotoGP,kurtis-roberts,team-kr,Team Roberts,ホンダ,RC212V,,21,10,確認済
2007,MotoGP,fonsi-nieto,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,22,7,確認済
2007,MotoGP,chaz-davies,pramac,Pramac d'Antin,ドゥカティ,デスモセディチ,,23,6,確認済
2007,MotoGP,michel-fabrizio,gresini,Honda Gresini,ホンダ,RC212V,,24,5,確認済
2007,MotoGP,miguel-duhamel,gresini,Honda Gresini,ホンダ,RC212V,,25,4,確認済
2007,MotoGP,jeremy-mcwilliams,ilmor,Ilmor GP,イルモア,,,26,2,確認済
2007,MotoGP,andrew-pitt,ilmor,Ilmor GP,イルモア,,,27,1,確認済
2008,MotoGP,valentino-rossi,yamaha-factory,Fiat Yamaha Team,ヤマハ,YZR-M1,,1,373,確認済
2008,MotoGP,casey-stoner,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,2,280,確認済
2008,MotoGP,dani-pedrosa,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,3,249,確認済
2008,MotoGP,jorge-lorenzo,yamaha-factory,Fiat Yamaha Team,ヤマハ,YZR-M1,,4,190,確認済
2008,MotoGP,andrea-dovizioso,jir,JiR Team Scot MotoGP,ホンダ,RC212V,,5,174,確認済
2008,MotoGP,nicky-hayden,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,6,155,確認済
2008,MotoGP,colin-edwards,tech3,Tech 3 Yamaha,ヤマハ,YZR-M1,,7,144,確認済
2008,MotoGP,chris-vermeulen,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,8,128,確認済
2008,MotoGP,shinya-nakano,gresini,San Carlo Honda Gresini,ホンダ,RC212V,,9,126,確認済
2008,MotoGP,loris-capirossi,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,10,118,確認済
2008,MotoGP,james-toseland,tech3,Tech 3 Yamaha,ヤマハ,YZR-M1,,11,105,確認済
2008,MotoGP,toni-elias,pramac,Alice Team,ドゥカティ,デスモセディチ,,12,92,確認済
2008,MotoGP,sylvain-guintoli,pramac,Alice Team,ドゥカティ,デスモセディチ,,13,67,確認済
2008,MotoGP,alex-de-angelis,gresini,San Carlo Honda Gresini,ホンダ,RC212V,,14,63,確認済
2008,MotoGP,randy-de-puniet,lcr,LCR Honda MotoGP,ホンダ,RC212V,,15,61,確認済
2008,MotoGP,john-hopkins,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,16,57,確認済
2008,MotoGP,marco-melandri,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,17,51,確認済
2008,MotoGP,anthony-west,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,18,50,確認済
2008,MotoGP,ben-spies,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,19,20,確認済
2008,MotoGP,jamie-hacking,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,20,5,確認済
2008,MotoGP,tadayuki-okada,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,21,2,確認済
2008,MotoGP,nobuatsu-aoki,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,22,0,確認済
2008,MotoGP,kousuke-akiyoshi,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,23,0,確認済
2009,MotoGP,valentino-rossi,yamaha-factory,Fiat Yamaha Team,ヤマハ,YZR-M1,,1,306,確認済
2009,MotoGP,jorge-lorenzo,yamaha-factory,Fiat Yamaha Team,ヤマハ,YZR-M1,,2,261,確認済
2009,MotoGP,dani-pedrosa,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,3,234,確認済
2009,MotoGP,casey-stoner,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,4,220,確認済
2009,MotoGP,colin-edwards,tech3,Monster Yamaha Tech 3,ヤマハ,YZR-M1,,5,161,確認済
2009,MotoGP,andrea-dovizioso,honda-hrc,Repsol Honda Team,ホンダ,RC212V,,6,160,確認済
2009,MotoGP,toni-elias,gresini,San Carlo Honda Gresini,ホンダ,RC212V,,7,115,確認済
2009,MotoGP,alex-de-angelis,gresini,San Carlo Honda Gresini,ホンダ,RC212V,,8,111,確認済
2009,MotoGP,loris-capirossi,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,9,110,確認済
2009,MotoGP,marco-melandri,hayate,Hayate Racing Team,カワサキ,ZX-RR,,10,108,確認済
2009,MotoGP,chris-vermeulen,suzuki-factory,Rizla Suzuki MotoGP,スズキ,GSV-R,,11,106,確認済
2009,MotoGP,randy-de-puniet,lcr,LCR Honda MotoGP,ホンダ,RC212V,,12,106,確認済
2009,MotoGP,nicky-hayden,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,13,104,確認済
2009,MotoGP,james-toseland,tech3,Monster Yamaha Tech 3,ヤマハ,YZR-M1,,14,92,確認済
2009,MotoGP,mika-kallio,pramac,Pramac Racing,ドゥカティ,デスモセディチ,,15,71,確認済
2009,MotoGP,niccolo-canepa,pramac,Pramac Racing,ドゥカティ,デスモセディチ,,16,38,確認済
2009,MotoGP,gabor-talmacsi,jir,Scot Racing Team MotoGP,ホンダ,RC212V,,17,19,確認済
2009,MotoGP,aleix-espargaro,pramac,Pramac Racing,ドゥカティ,デスモセディチ,,18,16,確認済
2009,MotoGP,sete-gibernau,onde2000,Grupo Francisco Hernando,ドゥカティ,デスモセディチ,,19,12,確認済
